id,left,top,right,bottom,calc_mean
"34",-13855.1156663706,6715748.54166601,-13681.9105856137,6715598.54166601,0.00935242274388133
"35",-13855.1156663706,6715598.54166601,-13681.9105856137,6715448.54166601,0.0107024448592668
"36",-13855.1156663706,6715448.54166601,-13681.9105856137,6715298.54166601,0.00350566499823798
"37",-13855.1156663706,6715298.54166601,-13681.9105856137,6715148.54166601,0.00297782160984309
"38",-13855.1156663706,6715148.54166601,-13681.9105856137,6714998.54166601,0.00701102940546245
"39",-13855.1156663706,6714998.54166601,-13681.9105856137,6714848.54166601,0.00676879350595691
"40",-13855.1156663706,6714848.54166601,-13681.9105856137,6714698.54166601,0.00417753357916282
"41",-13855.1156663706,6714698.54166601,-13681.9105856137,6714548.54166601,0.00717908851210245
"42",-13855.1156663706,6714548.54166601,-13681.9105856137,6714398.54166601,0.00518672655723637
"43",-13725.2118558029,6716423.54166601,-13552.006775046,6716273.54166601,0.0138641941579334
"44",-13725.2118558029,6716273.54166601,-13552.006775046,6716123.54166601,0.0125643381321172
"45",-13725.2118558029,6716123.54166601,-13552.006775046,6715973.54166601,0.0162705163229438
"46",-13725.2118558029,6715973.54166601,-13552.006775046,6715823.54166601,0.0150255425580096
"47",-13725.2118558029,6715823.54166601,-13552.006775046,6715673.54166601,0.0140235241864735
"48",-13725.2118558029,6715673.54166601,-13552.006775046,6715523.54166601,0.00665031914272311
"49",-13725.2118558029,6715523.54166601,-13552.006775046,6715373.54166601,0.00457578198934682
"50",-13725.2118558029,6715373.54166601,-13552.006775046,6715223.54166601,0.00331609836157416
"51",-13725.2118558029,6715223.54166601,-13552.006775046,6715073.54166601,0.00830724144461919
"52",-13725.2118558029,6715073.54166601,-13552.006775046,6714923.54166601,0.00407832117437958
"53",-13725.2118558029,6714923.54166601,-13552.006775046,6714773.54166601,0.00403467502863756
"54",-13725.2118558029,6714773.54166601,-13552.006775046,6714623.54166601,0.0102289937431074
"55",-13725.2118558029,6714623.54166601,-13552.006775046,6714473.54166601,0.00820218509461087
"56",-13725.2118558029,6714473.54166601,-13552.006775046,6714323.54166601,0.00158342649017086
"57",-13595.3080452353,6716498.54166601,-13422.1029644784,6716348.54166601,0.0187967733706729
"58",-13595.3080452353,6716348.54166601,-13422.1029644784,6716198.54166601,0.0121052203154008
"59",-13595.3080452353,6716198.54166601,-13422.1029644784,6716048.54166601,0.00850174358575699
"60",-13595.3080452353,6716048.54166601,-13422.1029644784,6715898.54166601,0.00694089929696227
"61",-13595.3080452353,6715898.54166601,-13422.1029644784,6715748.54166601,0.00647686109198242
"62",-13595.3080452353,6715748.54166601,-13422.1029644784,6715598.54166601,0.00750149428038615
"63",-13595.3080452353,6715598.54166601,-13422.1029644784,6715448.54166601,0.00479898375840836
"64",-13595.3080452353,6715448.54166601,-13422.1029644784,6715298.54166601,0.00366596876245545
"65",-13595.3080452353,6715298.54166601,-13422.1029644784,6715148.54166601,0.00469496560582172
"66",-13595.3080452353,6715148.54166601,-13422.1029644784,6714998.54166601,0.00326168003025376
"67",-13595.3080452353,6714998.54166601,-13422.1029644784,6714848.54166601,0.00357923078648386
"68",-13595.3080452353,6714848.54166601,-13422.1029644784,6714698.54166601,0.0029900492214456
"69",-13595.3080452353,6714698.54166601,-13422.1029644784,6714548.54166601,0.00656658282232748
"70",-13595.3080452353,6714548.54166601,-13422.1029644784,6714398.54166601,0.00408998734718734
"71",-13465.4042346676,6716423.54166601,-13292.1991539107,6716273.54166601,0.00732688973829351
"72",-13465.4042346676,6716273.54166601,-13292.1991539107,6716123.54166601,0.00753318608719914
"73",-13465.4042346676,6716123.54166601,-13292.1991539107,6715973.54166601,0.00488697030535609
"74",-13465.4042346676,6715973.54166601,-13292.1991539107,6715823.54166601,0.00317009348097574
"75",-13465.4042346676,6715823.54166601,-13292.1991539107,6715673.54166601,0.00694442299527358
"76",-13465.4042346676,6715673.54166601,-13292.1991539107,6715523.54166601,0.00674968806773684
"77",-13465.4042346676,6715523.54166601,-13292.1991539107,6715373.54166601,0.00516164673099081
"78",-13465.4042346676,6715373.54166601,-13292.1991539107,6715223.54166601,0.00462540890919613
"79",-13465.4042346676,6715223.54166601,-13292.1991539107,6715073.54166601,0.00321015320592772
"80",-13465.4042346676,6715073.54166601,-13292.1991539107,6714923.54166601,0.00285826513110226
"81",-13465.4042346676,6714923.54166601,-13292.1991539107,6714773.54166601,0.00336337616860094
"82",-13465.4042346676,6714773.54166601,-13292.1991539107,6714623.54166601,0.00936712404422667
"83",-13465.4042346676,6714623.54166601,-13292.1991539107,6714473.54166601,0.00521537335768054
"84",-13465.4042346676,6714473.54166601,-13292.1991539107,6714323.54166601,0.000786354182630877
"85",-13335.5004240999,6716498.54166601,-13162.295343343,6716348.54166601,0.00994259486186849
"86",-13335.5004240999,6716348.54166601,-13162.295343343,6716198.54166601,0.00723952554007879
"87",-13335.5004240999,6716198.54166601,-13162.295343343,6716048.54166601,0.00519035202143622
"88",-13335.5004240999,6716048.54166601,-13162.295343343,6715898.54166601,0.00751685543699824
"89",-13335.5004240999,6715898.54166601,-13162.295343343,6715748.54166601,0.0151831478942125
"90",-13335.5004240999,6715748.54166601,-13162.295343343,6715598.54166601,0.00336325721154176
"91",-13335.5004240999,6715598.54166601,-13162.295343343,6715448.54166601,0.00517589164241897
"92",-13335.5004240999,6715448.54166601,-13162.295343343,6715298.54166601,0.00914157190272593
"93",-13335.5004240999,6715298.54166601,-13162.295343343,6715148.54166601,0.00604804232021526
"94",-13335.5004240999,6715148.54166601,-13162.295343343,6714998.54166601,0.0091121276244598
"95",-13335.5004240999,6714998.54166601,-13162.295343343,6714848.54166601,0.00578919309455136
"96",-13335.5004240999,6714848.54166601,-13162.295343343,6714698.54166601,0.00504687442362891
"97",-13335.5004240999,6714698.54166601,-13162.295343343,6714548.54166601,0.00498102676106241
"98",-13335.5004240999,6714548.54166601,-13162.295343343,6714398.54166601,0.00343480926128829
"99",-13205.5966135323,6716423.54166601,-13032.3915327754,6716273.54166601,0.00806520700258457
"100",-13205.5966135323,6716273.54166601,-13032.3915327754,6716123.54166601,0.00589852191064404
"101",-13205.5966135323,6716123.54166601,-13032.3915327754,6715973.54166601,0.00428912029008589
"102",-13205.5966135323,6715973.54166601,-13032.3915327754,6715823.54166601,0.0170289531148361
"103",-13205.5966135323,6715823.54166601,-13032.3915327754,6715673.54166601,0.0103445955265969
